name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
NielsenHB_2014	0.79	0.79	0.79	0.79	0.55	0.73	0.73	0.73	0.73	0.43	0.81	0.8	0.81	0.81	0.59	0.83	0.83	0.83	0.83	0.64	0.87	0.87	0.87	0.87	0.73
ZhuF_2020	0.61	0.6	0.61	0.61	0.22	0.6	0.59	0.6	0.6	0.2	0.72	0.71	0.72	0.72	0.43	0.72	0.72	0.74	0.72	0.46	0.67	0.66	0.67	0.67	0.33
VogtmannE_2016	0.56	0.55	0.56	0.56	0.13	0.53	0.49	0.52	0.53	0.05	0.51	0.5	0.53	0.51	0.04	0.63	0.6	0.68	0.63	0.3	0.69	0.69	0.7	0.69	0.39
QinJ_2012	0.65	0.65	0.65	0.65	0.31	0.6	0.59	0.6	0.6	0.2	0.69	0.69	0.69	0.69	0.38	0.68	0.68	0.69	0.68	0.37	0.69	0.69	0.69	0.69	0.38
JieZ_2017	0.66	0.66	0.66	0.66	0.31	0.67	0.67	0.67	0.67	0.33	0.68	0.68	0.68	0.68	0.35	0.74	0.74	0.75	0.74	0.49	0.75	0.74	0.75	0.75	0.49
YuJ_2015	0.7	0.7	0.71	0.7	0.4	0.69	0.68	0.74	0.69	0.42	0.72	0.72	0.73	0.72	0.44	0.79	0.78	0.8	0.79	0.57	0.65	0.65	0.65	0.65	0.28
QinN_2014	0.75	0.75	0.77	0.75	0.52	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.79	0.76	0.55	0.87	0.87	0.88	0.87	0.75	0.87	0.87	0.87	0.87	0.75
RubelMA_2020	0.76	0.75	0.76	0.76	0.51	0.8	0.79	0.8	0.8	0.6	0.74	0.74	0.75	0.74	0.49	0.83	0.83	0.84	0.83	0.66	0.85	0.85	0.86	0.85	0.71
WirbelJ_2018	0.67	0.67	0.67	0.67	0.34	0.78	0.77	0.85	0.78	0.63	0.68	0.68	0.69	0.68	0.36	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.76	0.76	0.52
NagySzakalD_2017	0.69	0.68	0.7	0.69	0.38	0.71	0.71	0.72	0.71	0.43	0.7	0.69	0.75	0.7	0.44	0.71	0.71	0.73	0.71	0.44	0.76	0.76	0.76	0.76	0.52