name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
JieZ_2017	0.59	0.59	0.60	0.59	0.16	0.59	0.44	0.35	0.59	0.00	0.62	0.61	0.62	0.62	0.21	0.67	0.66	0.67	0.67	0.31	0.63	0.64	0.65	0.63	0.27
WampachL_2018	0.84	0.83	0.89	0.84	0.72	0.84	0.84	0.86	0.84	0.70	0.79	0.79	0.83	0.79	0.62	0.89	0.89	0.90	0.89	0.78	0.83	0.82	0.85	0.83	0.67
CosteaPI_2017	0.70	0.70	0.71	0.70	0.40	0.61	0.62	0.62	0.61	0.22	0.69	0.68	0.69	0.69	0.36	0.67	0.66	0.67	0.67	0.32	0.63	0.64	0.64	0.63	0.26
LokmerA_2019	0.64	0.60	0.60	0.64	0.28	0.69	0.66	0.65	0.69	0.33	0.57	0.49	0.47	0.57	0.07	0.67	0.65	0.75	0.67	0.39	0.77	0.76	0.77	0.77	0.53
VatanenT_2016	0.60	0.60	0.60	0.60	0.18	0.59	0.58	0.59	0.59	0.16	0.58	0.58	0.59	0.58	0.17	0.57	0.57	0.58	0.57	0.14	0.61	0.61	0.61	0.61	0.21
DeFilippisF_2019	0.79	0.79	0.80	0.79	0.59	0.69	0.67	0.70	0.69	0.38	0.73	0.73	0.76	0.73	0.49	0.69	0.69	0.69	0.69	0.37	0.68	0.66	0.72	0.68	0.39
RubelMA_2020	0.67	0.66	0.69	0.67	0.35	0.59	0.58	0.59	0.59	0.17	0.71	0.71	0.72	0.71	0.42	0.66	0.66	0.68	0.66	0.34	0.68	0.68	0.70	0.68	0.38
BritoIL_2016	0.67	0.67	0.67	0.67	0.34	0.59	0.58	0.59	0.59	0.17	0.66	0.65	0.66	0.66	0.31	0.60	0.59	0.59	0.60	0.18	0.65	0.65	0.66	0.65	0.30
FengQ_2015	0.60	0.59	0.60	0.60	0.19	0.60	0.58	0.58	0.60	0.15	0.61	0.60	0.61	0.61	0.21	0.70	0.68	0.67	0.70	0.35	0.68	0.68	0.70	0.68	0.37
ShaoY_2019	0.53	0.53	0.53	0.53	0.06	0.53	0.44	0.51	0.53	0.08	0.54	0.53	0.53	0.54	0.07	0.55	0.55	0.55	0.55	0.10	0.57	0.56	0.57	0.57	0.13
YachidaS_2019	0.64	0.64	0.64	0.64	0.26	0.60	0.57	0.60	0.60	0.22	0.68	0.67	0.67	0.68	0.32	0.64	0.64	0.65	0.64	0.28	0.66	0.66	0.68	0.66	0.33
OhJ_2014	0.79	0.78	0.80	0.79	0.58	0.80	0.80	0.81	0.80	0.59	0.68	0.65	0.70	0.68	0.34	0.82	0.82	0.84	0.82	0.66	0.85	0.85	0.86	0.85	0.71
ChuDM_2017	0.75	0.73	0.76	0.75	0.45	0.68	0.68	0.69	0.68	0.32	0.68	0.65	0.71	0.68	0.29	0.72	0.72	0.74	0.72	0.42	0.88	0.88	0.90	0.88	0.77
ZellerG_2014	0.68	0.68	0.70	0.68	0.38	0.58	0.56	0.60	0.58	0.17	0.65	0.65	0.65	0.65	0.29	0.63	0.62	0.63	0.63	0.25	0.65	0.65	0.65	0.65	0.29
QinJ_2012	0.53	0.53	0.54	0.53	0.06	0.55	0.40	0.31	0.55	0.00	0.58	0.56	0.57	0.58	0.13	0.55	0.40	0.31	0.55	0.00	0.61	0.61	0.61	0.61	0.22
LifeLinesDeep_2016	0.62	0.61	0.61	0.62	0.20	0.58	0.43	0.34	0.58	0.00	0.61	0.60	0.61	0.61	0.18	0.62	0.62	0.63	0.62	0.23	0.63	0.64	0.64	0.63	0.27
BrooksB_2017	0.83	0.83	0.83	0.83	0.64	0.82	0.81	0.84	0.82	0.64	0.80	0.79	0.80	0.80	0.57	0.83	0.83	0.84	0.83	0.67	0.75	0.75	0.75	0.75	0.47
QinJ_2012	0.53	0.53	0.54	0.53	0.07	0.57	0.56	0.56	0.57	0.12	0.60	0.58	0.60	0.60	0.18	0.55	0.55	0.56	0.55	0.10	0.60	0.60	0.60	0.60	0.20
Obregon-TitoAJ_2015	0.64	0.63	0.64	0.64	0.27	0.59	0.55	0.57	0.59	0.20	0.56	0.53	0.60	0.56	0.14	0.64	0.63	0.66	0.64	0.28	0.83	0.82	0.85	0.83	0.68
TettAJ_2016	0.76	0.76	0.77	0.76	0.49	0.67	0.64	0.64	0.67	0.28	0.69	0.61	0.63	0.69	0.23	0.69	0.67	0.75	0.69	0.38	0.75	0.72	0.76	0.75	0.43
RaymondF_2016	0.88	0.85	0.84	0.88	0.72	0.76	0.75	0.82	0.76	0.57	0.72	0.69	0.69	0.72	0.40	0.68	0.65	0.66	0.68	0.32	0.80	0.80	0.82	0.80	0.61
NielsenHB_2014	0.64	0.63	0.64	0.64	0.26	0.63	0.62	0.63	0.63	0.25	0.66	0.66	0.67	0.66	0.32	0.64	0.64	0.65	0.64	0.28	0.67	0.67	0.67	0.67	0.33
HansenLBS_2018	0.86	0.86	0.87	0.86	0.73	0.67	0.67	0.69	0.67	0.36	0.77	0.77	0.79	0.77	0.55	0.86	0.86	0.88	0.86	0.73	0.86	0.86	0.86	0.86	0.72
JieZ_2017	0.61	0.61	0.61	0.61	0.19	0.59	0.44	0.35	0.59	0.00	0.65	0.63	0.65	0.65	0.26	0.66	0.66	0.66	0.66	0.29	0.67	0.67	0.68	0.67	0.32
RampelliS_2015	0.88	0.85	0.84	0.88	0.72	0.70	0.67	0.68	0.70	0.43	0.70	0.69	0.73	0.70	0.41	0.74	0.73	0.78	0.74	0.52	0.79	0.79	0.82	0.79	0.61
DhakanDB_2019	0.56	0.55	0.56	0.56	0.12	0.61	0.61	0.62	0.61	0.23	0.60	0.59	0.59	0.60	0.19	0.65	0.65	0.65	0.65	0.30	0.69	0.68	0.71	0.69	0.40
ThomasAM_2018a	0.56	0.53	0.51	0.56	-0.05	0.64	0.50	0.41	0.64	0.00	0.64	0.50	0.41	0.64	0.00	0.64	0.50	0.41	0.64	0.00	0.78	0.76	0.78	0.78	0.50
BackhedF_2015	0.70	0.69	0.69	0.70	0.26	0.72	0.68	0.69	0.72	0.22	0.75	0.69	0.76	0.75	0.31	0.72	0.68	0.69	0.72	0.22	0.65	0.66	0.69	0.65	0.25
HMP_2019_t2d	0.97	0.97	0.97	0.97	0.93	0.88	0.88	0.88	0.88	0.75	0.95	0.95	0.95	0.95	0.90	0.97	0.97	0.97	0.97	0.93	0.97	0.97	0.97	0.97	0.94
HMP_2012	0.68	0.68	0.68	0.68	0.36	0.62	0.62	0.63	0.62	0.25	0.64	0.64	0.64	0.64	0.28	0.64	0.64	0.64	0.64	0.27	0.62	0.62	0.62	0.62	0.23
SmitsSA_2017	0.78	0.75	0.76	0.78	0.52	0.67	0.59	0.61	0.67	0.43	0.88	0.85	0.86	0.88	0.72	0.58	0.58	0.63	0.58	0.22	0.82	0.81	0.88	0.82	0.70
BrooksB_2017	0.79	0.79	0.79	0.79	0.56	0.83	0.83	0.85	0.83	0.67	0.81	0.81	0.82	0.81	0.61	0.84	0.84	0.85	0.84	0.68	0.81	0.80	0.81	0.81	0.59
GuptaA_2019	0.57	0.56	0.61	0.57	0.17	0.64	0.64	0.67	0.64	0.31	0.58	0.54	0.58	0.58	0.15	0.64	0.63	0.69	0.64	0.32	0.70	0.70	0.72	0.70	0.42
ThomasAM_2018b	0.76	0.75	0.79	0.76	0.49	0.66	0.66	0.69	0.66	0.29	0.74	0.70	0.72	0.74	0.38	0.72	0.68	0.73	0.72	0.38	0.77	0.76	0.79	0.77	0.50
YuJ_2015	0.61	0.49	0.42	0.61	-0.05	0.63	0.49	0.40	0.63	0.00	0.62	0.48	0.39	0.62	-0.04	0.63	0.49	0.40	0.63	0.00	0.60	0.59	0.63	0.60	0.19
BackhedF_2015	0.70	0.64	0.66	0.70	0.13	0.71	0.68	0.68	0.71	0.21	0.74	0.68	0.74	0.74	0.28	0.71	0.58	0.50	0.71	0.00	0.69	0.64	0.66	0.69	0.15
KosticAD_2015	0.75	0.75	0.76	0.75	0.50	0.76	0.76	0.79	0.76	0.55	0.75	0.75	0.76	0.75	0.51	0.81	0.81	0.81	0.81	0.61	0.78	0.78	0.79	0.78	0.56
LeChatelierE_2013	0.68	0.67	0.68	0.68	0.35	0.57	0.57	0.58	0.57	0.14	0.66	0.64	0.66	0.66	0.30	0.55	0.39	0.31	0.55	0.00	0.70	0.70	0.71	0.70	0.40
SchirmerM_2016	0.66	0.66	0.67	0.66	0.33	0.60	0.60	0.60	0.60	0.18	0.67	0.67	0.68	0.67	0.34	0.69	0.69	0.70	0.69	0.37	0.67	0.67	0.68	0.67	0.34
ThomasAM_2019_c	0.59	0.57	0.61	0.59	0.16	0.62	0.62	0.64	0.62	0.26	0.61	0.56	0.64	0.61	0.18	0.66	0.63	0.69	0.66	0.32	0.69	0.68	0.72	0.69	0.39
LiJ_2014	0.61	0.61	0.62	0.61	0.24	0.61	0.60	0.62	0.61	0.23	0.57	0.57	0.57	0.57	0.14	0.62	0.62	0.63	0.62	0.25	0.66	0.66	0.66	0.66	0.32
WirbelJ_2018	0.59	0.58	0.60	0.59	0.18	0.59	0.43	0.34	0.59	0.00	0.70	0.67	0.72	0.70	0.37	0.59	0.43	0.34	0.59	0.00	0.70	0.70	0.71	0.70	0.40
HMP_2019_ibdmdb	0.86	0.86	0.86	0.86	0.72	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.84	0.84	0.84	0.84	0.68	0.74	0.74	0.74	0.74	0.48
ChengpingW_2017	0.58	0.57	0.58	0.58	0.14	0.55	0.39	0.30	0.55	0.00	0.70	0.70	0.71	0.70	0.41	0.55	0.39	0.30	0.55	0.00	0.63	0.62	0.63	0.63	0.24
VincentC_2016	0.76	0.73	0.74	0.76	0.49	0.56	0.41	0.32	0.56	0.00	0.64	0.59	0.59	0.64	0.21	0.60	0.59	0.67	0.60	0.25	0.84	0.83	0.87	0.84	0.69
LokmerA_2019	0.77	0.76	0.84	0.77	0.60	0.61	0.61	0.65	0.61	0.26	0.69	0.62	0.60	0.69	0.35	0.62	0.59	0.69	0.62	0.28	0.68	0.67	0.73	0.68	0.39
ZhuF_2020	0.59	0.59	0.59	0.59	0.18	0.65	0.65	0.66	0.65	0.31	0.56	0.56	0.57	0.56	0.14	0.71	0.70	0.72	0.71	0.42	0.66	0.65	0.67	0.66	0.32
ChngKR_2016	0.77	0.77	0.82	0.77	0.60	0.67	0.66	0.68	0.67	0.34	0.67	0.66	0.69	0.67	0.36	0.81	0.80	0.85	0.81	0.66	0.79	0.78	0.80	0.79	0.59
VilaAV_2018	0.63	0.62	0.62	0.63	0.17	0.64	0.50	0.41	0.64	0.00	0.65	0.53	0.57	0.65	0.06	0.64	0.50	0.41	0.64	0.00	0.63	0.52	0.50	0.63	0.01
KeohaneDM_2020	0.65	0.64	0.68	0.65	0.32	0.56	0.54	0.55	0.56	0.09	0.58	0.54	0.61	0.58	0.15	0.62	0.61	0.64	0.62	0.25	0.74	0.74	0.75	0.74	0.49
RubelMA_2020	0.71	0.70	0.72	0.71	0.42	0.62	0.61	0.62	0.62	0.22	0.63	0.62	0.65	0.63	0.26	0.66	0.66	0.67	0.66	0.32	0.61	0.61	0.61	0.61	0.21
CosteaPI_2017	0.70	0.70	0.70	0.70	0.39	0.60	0.59	0.60	0.60	0.18	0.66	0.66	0.68	0.66	0.33	0.67	0.67	0.68	0.67	0.33	0.63	0.63	0.64	0.63	0.26
HMP_2019_ibdmdb	0.86	0.86	0.86	0.86	0.71	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.85	0.85	0.85	0.85	0.70	0.75	0.75	0.75	0.75	0.50
ChengpingW_2017	0.59	0.59	0.60	0.59	0.19	0.56	0.54	0.54	0.56	0.11	0.58	0.53	0.59	0.58	0.13	0.55	0.39	0.30	0.55	0.00	0.60	0.59	0.61	0.60	0.19
QinN_2014	0.65	0.65	0.65	0.65	0.22	0.66	0.53	0.44	0.66	0.00	0.68	0.63	0.67	0.68	0.21	0.66	0.53	0.44	0.66	0.00	0.65	0.66	0.67	0.65	0.27
HanniganGD_2017	0.71	0.71	0.75	0.71	0.45	0.57	0.42	0.33	0.57	0.00	0.64	0.63	0.65	0.64	0.27	0.57	0.42	0.33	0.57	0.00	0.72	0.72	0.74	0.72	0.45
PehrssonE_2016	0.61	0.61	0.62	0.61	0.23	0.64	0.62	0.71	0.64	0.34	0.59	0.58	0.59	0.59	0.18	0.67	0.67	0.68	0.67	0.36	0.61	0.61	0.61	0.61	0.22
PehrssonE_2016	0.62	0.61	0.64	0.62	0.26	0.63	0.61	0.70	0.63	0.33	0.53	0.48	0.53	0.53	0.05	0.66	0.65	0.66	0.66	0.32	0.62	0.62	0.62	0.62	0.24
YachidaS_2019	0.65	0.65	0.65	0.65	0.28	0.60	0.58	0.59	0.60	0.15	0.68	0.67	0.68	0.68	0.33	0.65	0.65	0.66	0.65	0.29	0.68	0.68	0.69	0.68	0.36
ZeeviD_2015	0.62	0.62	0.62	0.62	0.21	0.61	0.46	0.37	0.61	0.00	0.63	0.61	0.62	0.63	0.19	0.64	0.64	0.64	0.64	0.25	0.61	0.60	0.60	0.61	0.16
PasolliE_2019	0.64	0.63	0.65	0.64	0.28	0.61	0.58	0.70	0.61	0.30	0.68	0.66	0.71	0.68	0.39	0.61	0.61	0.62	0.61	0.23	0.67	0.67	0.67	0.67	0.34
LeeKA_2022	0.54	0.53	0.55	0.54	0.05	0.61	0.60	0.62	0.61	0.20	0.62	0.62	0.62	0.62	0.20	0.67	0.66	0.67	0.67	0.30	0.68	0.67	0.68	0.68	0.32
HansenLBS_2018	0.85	0.85	0.86	0.85	0.71	0.68	0.67	0.71	0.68	0.38	0.81	0.80	0.82	0.81	0.62	0.86	0.86	0.88	0.86	0.74	0.88	0.88	0.88	0.88	0.76
