name	JieZ_2017	WampachL_2018	CosteaPI_2017	LokmerA_2019	VatanenT_2016	DeFilippisF_2019	RubelMA_2020	BritoIL_2016	FengQ_2015	ShaoY_2019	YachidaS_2019	OhJ_2014	ChuDM_2017	ZellerG_2014	QinJ_2012	LifeLinesDeep_2016	BrooksB_2017	QinJ_2012_2	Obregon-TitoAJ_2015	TettAJ_2016	RaymondF_2016	NielsenHB_2014	HansenLBS_2018	JieZ_2017_2	RampelliS_2015	DhakanDB_2019	ThomasAM_2018a	BackhedF_2015	HMP_2019_t2d	HMP_2012	SmitsSA_2017	BrooksB_2017_2	GuptaA_2019	ThomasAM_2018b	YuJ_2015	BackhedF_2015_2	KosticAD_2015	LeChatelierE_2013	SchirmerM_2016	ThomasAM_2019_c	LiJ_2014	WirbelJ_2018	HMP_2019_ibdmdb	ChengpingW_2017	VincentC_2016	LokmerA_2019_2	ZhuF_2020	ChngKR_2016	VilaAV_2018	KeohaneDM_2020	RubelMA_2020_2	CosteaPI_2017_2	HMP_2019_ibdmdb_2	ChengpingW_2017_2	QinN_2014	HanniganGD_2017	PehrssonE_2016	PehrssonE_2016_2	YachidaS_2019_2	ZeeviD_2015	PasolliE_2019	LeeKA_2022	HansenLBS_2018_2
Acc_LRC	0.59	0.84	0.7	0.64	0.6	0.79	0.67	0.67	0.6	0.53	0.64	0.79	0.75	0.68	0.53	0.62	0.83	0.53	0.64	0.76	0.88	0.64	0.86	0.61	0.88	0.56	0.56	0.7	0.97	0.68	0.78	0.79	0.57	0.76	0.61	0.7	0.75	0.68	0.66	0.59	0.61	0.59	0.86	0.58	0.76	0.77	0.59	0.77	0.63	0.65	0.71	0.7	0.86	0.59	0.65	0.71	0.61	0.62	0.65	0.62	0.64	0.54	0.85
F1_LRC	0.59	0.83	0.7	0.6	0.6	0.79	0.66	0.67	0.59	0.53	0.64	0.78	0.73	0.68	0.53	0.61	0.83	0.53	0.63	0.76	0.85	0.63	0.86	0.61	0.85	0.55	0.53	0.69	0.97	0.68	0.75	0.79	0.56	0.75	0.49	0.64	0.75	0.67	0.66	0.57	0.61	0.58	0.86	0.57	0.73	0.76	0.59	0.77	0.62	0.64	0.7	0.7	0.86	0.59	0.65	0.71	0.61	0.61	0.65	0.62	0.63	0.53	0.85
Prec_LRC	0.6	0.89	0.71	0.6	0.6	0.8	0.69	0.67	0.6	0.53	0.64	0.8	0.76	0.7	0.54	0.61	0.83	0.54	0.64	0.77	0.84	0.64	0.87	0.61	0.84	0.56	0.51	0.69	0.97	0.68	0.76	0.79	0.61	0.79	0.42	0.66	0.76	0.68	0.67	0.61	0.62	0.6	0.86	0.58	0.74	0.84	0.59	0.82	0.62	0.68	0.72	0.7	0.86	0.6	0.65	0.75	0.62	0.64	0.65	0.62	0.65	0.55	0.86
Recall_LRC	0.59	0.84	0.7	0.64	0.6	0.79	0.67	0.67	0.6	0.53	0.64	0.79	0.75	0.68	0.53	0.62	0.83	0.53	0.64	0.76	0.88	0.64	0.86	0.61	0.88	0.56	0.56	0.7	0.97	0.68	0.78	0.79	0.57	0.76	0.61	0.7	0.75	0.68	0.66	0.59	0.61	0.59	0.86	0.58	0.76	0.77	0.59	0.77	0.63	0.65	0.71	0.7	0.86	0.59	0.65	0.71	0.61	0.62	0.65	0.62	0.64	0.54	0.85
MCC_LRC	0.16	0.72	0.4	0.28	0.18	0.59	0.35	0.34	0.19	0.06	0.26	0.58	0.45	0.38	0.06	0.2	0.64	0.07	0.27	0.49	0.72	0.26	0.73	0.19	0.72	0.12	-0.05	0.26	0.93	0.36	0.52	0.56	0.17	0.49	-0.05	0.13	0.5	0.35	0.33	0.16	0.24	0.18	0.72	0.14	0.49	0.6	0.18	0.6	0.17	0.32	0.42	0.39	0.71	0.19	0.22	0.45	0.23	0.26	0.28	0.21	0.28	0.05	0.71
Acc_DTC	0.59	0.84	0.61	0.69	0.59	0.69	0.59	0.59	0.6	0.53	0.6	0.8	0.68	0.58	0.55	0.58	0.82	0.57	0.59	0.67	0.76	0.63	0.67	0.59	0.7	0.61	0.64	0.72	0.88	0.62	0.67	0.83	0.64	0.66	0.63	0.71	0.76	0.57	0.6	0.62	0.61	0.59	0.76	0.55	0.56	0.61	0.65	0.67	0.64	0.56	0.62	0.6	0.76	0.56	0.66	0.57	0.64	0.63	0.6	0.61	0.61	0.61	0.68
F1_DTC	0.44	0.84	0.62	0.66	0.58	0.67	0.58	0.58	0.58	0.44	0.57	0.8	0.68	0.56	0.4	0.43	0.81	0.56	0.55	0.64	0.75	0.62	0.67	0.44	0.67	0.61	0.5	0.68	0.88	0.62	0.59	0.83	0.64	0.66	0.49	0.68	0.76	0.57	0.6	0.62	0.6	0.43	0.76	0.39	0.41	0.61	0.65	0.66	0.5	0.54	0.61	0.59	0.76	0.54	0.53	0.42	0.62	0.61	0.58	0.46	0.58	0.6	0.67
Prec_DTC	0.35	0.86	0.62	0.65	0.59	0.7	0.59	0.59	0.58	0.51	0.6	0.81	0.69	0.6	0.31	0.34	0.84	0.56	0.57	0.64	0.82	0.63	0.69	0.35	0.68	0.62	0.41	0.69	0.88	0.63	0.61	0.85	0.67	0.69	0.4	0.68	0.79	0.58	0.6	0.64	0.62	0.34	0.77	0.3	0.32	0.65	0.66	0.68	0.41	0.55	0.62	0.6	0.77	0.54	0.44	0.33	0.71	0.7	0.59	0.37	0.7	0.62	0.71
Recall_DTC	0.59	0.84	0.61	0.69	0.59	0.69	0.59	0.59	0.6	0.53	0.6	0.8	0.68	0.58	0.55	0.58	0.82	0.57	0.59	0.67	0.76	0.63	0.67	0.59	0.7	0.61	0.64	0.72	0.88	0.62	0.67	0.83	0.64	0.66	0.63	0.71	0.76	0.57	0.6	0.62	0.61	0.59	0.76	0.55	0.56	0.61	0.65	0.67	0.64	0.56	0.62	0.6	0.76	0.56	0.66	0.57	0.64	0.63	0.6	0.61	0.61	0.61	0.68
MCC_DTC	0.0	0.7	0.22	0.33	0.16	0.38	0.17	0.17	0.15	0.08	0.22	0.59	0.32	0.17	0.0	0.0	0.64	0.12	0.2	0.28	0.57	0.25	0.36	0.0	0.43	0.23	0.0	0.22	0.75	0.25	0.43	0.67	0.31	0.29	0.0	0.21	0.55	0.14	0.18	0.26	0.23	0.0	0.53	0.0	0.0	0.26	0.31	0.34	0.0	0.09	0.22	0.18	0.53	0.11	0.0	0.0	0.34	0.33	0.15	0.0	0.3	0.2	0.38
Acc_SVC	0.62	0.79	0.69	0.57	0.58	0.73	0.71	0.66	0.61	0.54	0.68	0.68	0.68	0.65	0.58	0.61	0.8	0.6	0.56	0.69	0.72	0.66	0.77	0.65	0.7	0.6	0.64	0.75	0.95	0.64	0.88	0.81	0.58	0.74	0.62	0.74	0.75	0.66	0.67	0.61	0.57	0.7	0.77	0.7	0.64	0.69	0.56	0.67	0.65	0.58	0.63	0.66	0.77	0.58	0.68	0.64	0.59	0.53	0.68	0.63	0.68	0.62	0.81
F1_SVC	0.61	0.79	0.68	0.49	0.58	0.73	0.71	0.65	0.6	0.53	0.67	0.65	0.65	0.65	0.56	0.6	0.79	0.58	0.53	0.61	0.69	0.66	0.77	0.63	0.69	0.59	0.5	0.69	0.95	0.64	0.85	0.81	0.54	0.7	0.48	0.68	0.75	0.64	0.67	0.56	0.57	0.67	0.77	0.7	0.59	0.62	0.56	0.66	0.53	0.54	0.62	0.66	0.77	0.53	0.63	0.63	0.58	0.48	0.67	0.61	0.66	0.62	0.8
Prec_SVC	0.62	0.83	0.69	0.47	0.59	0.76	0.72	0.66	0.61	0.53	0.67	0.7	0.71	0.65	0.57	0.61	0.8	0.6	0.6	0.63	0.69	0.67	0.79	0.65	0.73	0.59	0.41	0.76	0.95	0.64	0.86	0.82	0.58	0.72	0.39	0.74	0.76	0.66	0.68	0.64	0.57	0.72	0.77	0.71	0.59	0.6	0.57	0.69	0.57	0.61	0.65	0.68	0.77	0.59	0.67	0.65	0.59	0.53	0.68	0.62	0.71	0.62	0.82
Recall_SVC	0.62	0.79	0.69	0.57	0.58	0.73	0.71	0.66	0.61	0.54	0.68	0.68	0.68	0.65	0.58	0.61	0.8	0.6	0.56	0.69	0.72	0.66	0.77	0.65	0.7	0.6	0.64	0.75	0.95	0.64	0.88	0.81	0.58	0.74	0.62	0.74	0.75	0.66	0.67	0.61	0.57	0.7	0.77	0.7	0.64	0.69	0.56	0.67	0.65	0.58	0.63	0.66	0.77	0.58	0.68	0.64	0.59	0.53	0.68	0.63	0.68	0.62	0.81
MCC_SVC	0.21	0.62	0.36	0.07	0.17	0.49	0.42	0.31	0.21	0.07	0.32	0.34	0.29	0.29	0.13	0.18	0.57	0.18	0.14	0.23	0.4	0.32	0.55	0.26	0.41	0.19	0.0	0.31	0.9	0.28	0.72	0.61	0.15	0.38	-0.04	0.28	0.51	0.3	0.34	0.18	0.14	0.37	0.54	0.41	0.21	0.35	0.14	0.36	0.06	0.15	0.26	0.33	0.54	0.13	0.21	0.27	0.18	0.05	0.33	0.19	0.39	0.2	0.62
Acc_RFC	0.67	0.89	0.67	0.67	0.57	0.69	0.66	0.6	0.7	0.55	0.64	0.82	0.72	0.63	0.55	0.62	0.83	0.55	0.64	0.69	0.68	0.64	0.86	0.66	0.74	0.65	0.64	0.72	0.97	0.64	0.58	0.84	0.64	0.72	0.63	0.71	0.81	0.55	0.69	0.66	0.62	0.59	0.84	0.55	0.6	0.62	0.71	0.81	0.64	0.62	0.66	0.67	0.85	0.55	0.66	0.57	0.67	0.66	0.65	0.64	0.61	0.67	0.86
F1_RFC	0.66	0.89	0.66	0.65	0.57	0.69	0.66	0.59	0.68	0.55	0.64	0.82	0.72	0.62	0.4	0.62	0.83	0.55	0.63	0.67	0.65	0.64	0.86	0.66	0.73	0.65	0.5	0.68	0.97	0.64	0.58	0.84	0.63	0.68	0.49	0.58	0.81	0.39	0.69	0.63	0.62	0.43	0.84	0.39	0.59	0.59	0.7	0.8	0.5	0.61	0.66	0.67	0.85	0.39	0.53	0.42	0.67	0.65	0.65	0.64	0.61	0.66	0.86
Prec_RFC	0.67	0.9	0.67	0.75	0.58	0.69	0.68	0.59	0.67	0.55	0.65	0.84	0.74	0.63	0.31	0.63	0.84	0.56	0.66	0.75	0.66	0.65	0.88	0.66	0.78	0.65	0.41	0.69	0.97	0.64	0.63	0.85	0.69	0.73	0.4	0.5	0.81	0.31	0.7	0.69	0.63	0.34	0.84	0.3	0.67	0.69	0.72	0.85	0.41	0.64	0.67	0.68	0.85	0.3	0.44	0.33	0.68	0.66	0.66	0.64	0.62	0.67	0.88
Recall_RFC	0.67	0.89	0.67	0.67	0.57	0.69	0.66	0.6	0.7	0.55	0.64	0.82	0.72	0.63	0.55	0.62	0.83	0.55	0.64	0.69	0.68	0.64	0.86	0.66	0.74	0.65	0.64	0.72	0.97	0.64	0.58	0.84	0.64	0.72	0.63	0.71	0.81	0.55	0.69	0.66	0.62	0.59	0.84	0.55	0.6	0.62	0.71	0.81	0.64	0.62	0.66	0.67	0.85	0.55	0.66	0.57	0.67	0.66	0.65	0.64	0.61	0.67	0.86
MCC_RFC	0.31	0.78	0.32	0.39	0.14	0.37	0.34	0.18	0.35	0.1	0.28	0.66	0.42	0.25	0.0	0.23	0.67	0.1	0.28	0.38	0.32	0.28	0.73	0.29	0.52	0.3	0.0	0.22	0.93	0.27	0.22	0.68	0.32	0.38	0.0	0.0	0.61	0.0	0.37	0.32	0.25	0.0	0.68	0.0	0.25	0.28	0.42	0.66	0.0	0.25	0.32	0.33	0.7	0.0	0.0	0.0	0.36	0.32	0.29	0.25	0.23	0.3	0.74
Acc_HDC	0.63	0.83	0.63	0.77	0.61	0.68	0.68	0.65	0.68	0.57	0.66	0.85	0.88	0.65	0.61	0.63	0.75	0.6	0.83	0.75	0.8	0.67	0.86	0.67	0.79	0.69	0.78	0.65	0.97	0.62	0.82	0.81	0.7	0.77	0.6	0.69	0.78	0.7	0.67	0.69	0.66	0.7	0.74	0.63	0.84	0.68	0.66	0.79	0.63	0.74	0.61	0.63	0.75	0.6	0.65	0.72	0.61	0.62	0.68	0.61	0.67	0.68	0.88
F1_HDC	0.64	0.82	0.64	0.76	0.61	0.66	0.68	0.65	0.68	0.56	0.66	0.85	0.88	0.65	0.61	0.64	0.75	0.6	0.82	0.72	0.8	0.67	0.86	0.67	0.79	0.68	0.76	0.66	0.97	0.62	0.81	0.8	0.7	0.76	0.59	0.64	0.78	0.7	0.67	0.68	0.66	0.7	0.74	0.62	0.83	0.67	0.65	0.78	0.52	0.74	0.61	0.63	0.75	0.59	0.66	0.72	0.61	0.62	0.68	0.6	0.67	0.67	0.88
Prec_HDC	0.65	0.85	0.64	0.77	0.61	0.72	0.7	0.66	0.7	0.57	0.68	0.86	0.9	0.65	0.61	0.64	0.75	0.6	0.85	0.76	0.82	0.67	0.86	0.68	0.82	0.71	0.78	0.69	0.97	0.62	0.88	0.81	0.72	0.79	0.63	0.66	0.79	0.71	0.68	0.72	0.66	0.71	0.74	0.63	0.87	0.73	0.67	0.8	0.5	0.75	0.61	0.64	0.75	0.61	0.67	0.74	0.61	0.62	0.69	0.6	0.67	0.68	0.88
Recall_HDC	0.63	0.83	0.63	0.77	0.61	0.68	0.68	0.65	0.68	0.57	0.66	0.85	0.88	0.65	0.61	0.63	0.75	0.6	0.83	0.75	0.8	0.67	0.86	0.67	0.79	0.69	0.78	0.65	0.97	0.62	0.82	0.81	0.7	0.77	0.6	0.69	0.78	0.7	0.67	0.69	0.66	0.7	0.74	0.63	0.84	0.68	0.66	0.79	0.63	0.74	0.61	0.63	0.75	0.6	0.65	0.72	0.61	0.62	0.68	0.61	0.67	0.68	0.88
MCC_HDC	0.27	0.67	0.26	0.53	0.21	0.39	0.38	0.3	0.37	0.13	0.33	0.71	0.77	0.29	0.22	0.27	0.47	0.2	0.68	0.43	0.61	0.33	0.72	0.32	0.61	0.4	0.5	0.25	0.94	0.23	0.7	0.59	0.42	0.5	0.19	0.15	0.56	0.4	0.34	0.39	0.32	0.4	0.48	0.24	0.69	0.39	0.32	0.59	0.01	0.49	0.21	0.26	0.5	0.19	0.27	0.45	0.22	0.24	0.36	0.16	0.34	0.32	0.76
